Bridge_ID,Bridge_Name,Location,Bridge_Type,Age_Years,Crack_Width_mm,Deflection_mm,Vibration_Hz,Inspection_Result,Risk_Ranking,Maintenance_Priority,Next_Inspection
BR001,Bridge 1,Pune,RCC Slab,25,1.43,30,7.4,Critical,Very High,Immediate,1 Month
BR002,Bridge 2,Nashik,RCC Girder,11,0.61,8,9,Satisfactory,Medium,Preventive,6 Months
BR003,Bridge 3,Wardha,Steel Girder,10,0.71,9,4.9,Poor,High,Major Repair,3 Months
BR004,Bridge 4,Amravati,RCC Girder,8,1.26,12,9.2,Critical,Very High,Immediate,1 Month
BR005,Bridge 5,Mumbai,Steel Truss,30,0.17,19,3.8,Satisfactory,Medium,Preventive,6 Months
BR006,Bridge 6,Wardha,PSC Box Girder,31,0.3,12,6.9,Good,Low,Routine,12 Months
BR007,Bridge 7,Wardha,RCC Girder,11,0.91,17,5.7,Poor,High,Major Repair,3 Months
BR008,Bridge 8,Satara,Steel Truss,8,0.97,36,7.6,Critical,Very High,Immediate,1 Month
BR009,Bridge 9,Nashik,PSC Box Girder,34,0.92,34,5.7,Critical,Very High,Immediate,1 Month
BR010,Bridge 10,Kolhapur,Steel Girder,20,0.21,24,6.7,Poor,High,Major Repair,3 Months
BR011,Bridge 11,Satara,PSC Box Girder,23,0.95,9,4.2,Poor,High,Major Repair,3 Months
BR012,Bridge 12,Pune,RCC Slab,26,0.31,36,6,Critical,Very High,Immediate,1 Month
BR013,Bridge 13,Amravati,Steel Girder,25,0.58,27,7.1,Poor,High,Major Repair,3 Months
BR014,Bridge 14,Pune,RCC Girder,9,1.28,22,6.3,Critical,Very High,Immediate,1 Month
BR015,Bridge 15,Satara,Steel Truss,24,1.01,33,5.2,Critical,Very High,Immediate,1 Month
BR016,Bridge 16,Pune,Steel Girder,6,1.42,27,4.5,Critical,Very High,Immediate,1 Month
BR017,Bridge 17,Nashik,Steel Girder,8,0.41,23,4.3,Poor,High,Major Repair,3 Months
BR018,Bridge 18,Akola,Steel Girder,30,1.38,36,4,Critical,Very High,Immediate,1 Month
BR019,Bridge 19,Wardha,Steel Truss,40,0.49,13,8.4,Satisfactory,Medium,Preventive,6 Months
BR020,Bridge 20,Mumbai,RCC Girder,31,1.48,29,9.2,Critical,Very High,Immediate,1 Month
BR021,Bridge 21,Amravati,PSC Box Girder,16,0.31,19,3.6,Satisfactory,Medium,Preventive,6 Months
BR022,Bridge 22,Kolhapur,RCC Slab,21,0.49,14,6,Satisfactory,Medium,Preventive,6 Months
BR023,Bridge 23,Nagpur,Steel Girder,25,1.43,37,9.2,Critical,Very High,Immediate,1 Month
BR024,Bridge 24,Akola,Steel Girder,40,0.65,30,5.9,Poor,High,Major Repair,3 Months
BR025,Bridge 25,Pune,Steel Truss,8,0.37,18,6.1,Satisfactory,Medium,Preventive,6 Months
BR026,Bridge 26,Kolhapur,RCC Slab,8,0.24,14,6.7,Satisfactory,Medium,Preventive,6 Months
BR027,Bridge 27,Mumbai,Steel Truss,6,0.2,18,7.2,Satisfactory,Medium,Preventive,6 Months
BR028,Bridge 28,Akola,Steel Girder,27,0.94,35,4.2,Critical,Very High,Immediate,1 Month
BR029,Bridge 29,Kolhapur,Steel Truss,35,0.78,10,4.4,Poor,High,Major Repair,3 Months
BR030,Bridge 30,Nashik,RCC Slab,35,1.26,15,6.6,Critical,Very High,Immediate,1 Month
BR031,Bridge 31,Wardha,Steel Truss,28,0.31,39,9,Critical,Very High,Immediate,1 Month
BR032,Bridge 32,Mumbai,Steel Truss,10,1.07,21,6.6,Critical,Very High,Immediate,1 Month
BR033,Bridge 33,Nashik,RCC Slab,19,0.85,37,5.5,Critical,Very High,Immediate,1 Month
BR034,Bridge 34,Nashik,PSC Box Girder,17,1.23,30,7.9,Critical,Very High,Immediate,1 Month
BR035,Bridge 35,Aurangabad,Steel Girder,38,0.79,6,9.4,Poor,High,Major Repair,3 Months
BR036,Bridge 36,Kolhapur,Steel Truss,21,0.37,27,6.2,Poor,High,Major Repair,3 Months
BR037,Bridge 37,Kolhapur,PSC Box Girder,10,0.41,19,6.3,Satisfactory,Medium,Preventive,6 Months
BR038,Bridge 38,Kolhapur,RCC Girder,35,0.97,5,6.4,Poor,High,Major Repair,3 Months
BR039,Bridge 39,Mumbai,Steel Girder,12,1.37,17,6.4,Critical,Very High,Immediate,1 Month
BR040,Bridge 40,Pune,PSC Box Girder,26,0.22,30,6.3,Poor,High,Major Repair,3 Months
